   9511 GBIF:8757914	GBIF:8757914 | GBIF:9917490 | IRMNG:11459139 | WD:Q18965335	Avian coronavirus	species	Avian coronavirus			hasHost	ALATaxon:urn:lsid:biodiversity.org.au:afd.taxon:6e952804-1b8d-43cf-b55f-c9c9d6b0da77 | EOL_V2:1049263 | GBIF:5227769 | GBIF:9326020 | INAT_TAXON:882 | IRMNG:11181863 | ITIS:176086 | NCBI:9031 | WD:Q184774 | WORMS:1463738	Gallus gallus	species	Gallus gallus	EOL_V2:1049263	Chordata	Animalia
    823 GBIF:1311477	GBIF:1311477 | INAT_TAXON:119019 | IRMNG:11088463 | http://taxon-concept.plazi.org/id/Animalia/Vespa_velutina_Lepeletier_1836 | http://taxon-concept.plazi.org/id/Animalia/Vespa_velutina_Saint-Fargeau_1836 | http://treatment.plazi.org/id/1F52051FFF886B5DEFD5FC01972DF8D0 | http://treatment.plazi.org/id/312E8791FF8CFFA5FF20FAFE21A37E96 | http://treatment.plazi.org/id/507B6C6AFFB3FF82FF7D36782B4F166E | http://treatment.plazi.org/id/514381547E4AFF8FFCBD13573EBDFA7A | http://treatment.plazi.org/id/C82F632DFF85C9741AA2FD2BFCAF22E0	Vespa velutina	species	Vespa velutina	Arthropoda	Animalia	eats	GBIF:1341976 | INAT_TAXON:47219 | IRMNG:11307057 | ITIS:154396 | WORMS:1490237 | http://taxon-concept.plazi.org/id/Animalia/Apis_mellifera_Linnaeus_1758 | http://treatment.plazi.org/id/0392879B7353AB0043D5F930FDC4FEDB | http://treatment.plazi.org/id/039A87C5FFBB5B6B4E87C951C84027C6 | http://treatment.plazi.org/id/05A46C7F94FE5EC99656C7D8040B79B1 | http://treatment.plazi.org/id/082D647765F58E3E4C7CB9CDFD9CCAF5 | http://treatment.plazi.org/id/132673198DAD2D3D91C43F5F39F689F5 | http://treatment.plazi.org/id/4E4236DBCC11B6C4DD1A9CF7E7FBAEAC | http://treatment.plazi.org/id/80361C2EEA1DE4A2428B918B9AA0E02A | http://treatment.plazi.org/id/81A304DDB952574A8060AB1624AA6559 | http://treatment.plazi.org/id/865F8797FFEA8D28FF09FF0EED02D243 | http://treatment.plazi.org/id/AD05F484EB865DF2A3E9035AD77BECE4 | http://treatment.plazi.org/id/CA2E8168D9A224164CD57ADFC0B80B0C | http://treatment.plazi.org/id/D99C3063405AE6A23409846A31F19F9A | http://treatment.plazi.org/id/F75187E14F22FFE8F0CAF8EEFC2D691F	Apis mellifera	species	Apis mellifera	GBIF:1341976	Arthropoda	Animalia
    343 GBIF:2560612	GBIF:2560612 | IF:199430 | IRMNG:11043438 | NCBI:176275	Beauveria bassiana	species	Beauveria bassiana	Ascomycota	Fungi	pathogenOf	GBIF:1876542 | INAT_TAXON:122940 | IRMNG:10325437 | WORMS:1488575	Galleria mellonella	species	Galleria mellonella	GBIF:1876542	Arthropoda	Animalia
    262 NCBI:562	GBIF:10687524 | GBIF:6110934 | ITIS:285 | NCBI:562	Escherichia coli	species	Escherichia coli	Proteobacteria		pathogenOf	GBIF:9326020 | ITIS:176086 | NCBI:9031	Gallus gallus	species	Gallus gallus	NCBI:9031	Chordata	Metazoa
    219 GBIF:1311477	GBIF:1311477 | INAT_TAXON:119019 | IRMNG:11088463 | http://taxon-concept.plazi.org/id/Animalia/Vespa_velutina_Lepeletier_1836 | http://taxon-concept.plazi.org/id/Animalia/Vespa_velutina_Saint-Fargeau_1836 | http://treatment.plazi.org/id/1F52051FFF886B5DEFD5FC01972DF8D0 | http://treatment.plazi.org/id/312E8791FF8CFFA5FF20FAFE21A37E96 | http://treatment.plazi.org/id/507B6C6AFFB3FF82FF7D36782B4F166E | http://treatment.plazi.org/id/514381547E4AFF8FFCBD13573EBDFA7A | http://treatment.plazi.org/id/C82F632DFF85C9741AA2FD2BFCAF22E0	Vespa velutina	species	Vespa velutina	Arthropoda	Animalia	eats	GBIF:1311671 | NCBI:7454 | http://taxon-concept.plazi.org/id/Animalia/Vespula_vulgaris_Linnaeus_1758 | http://treatment.plazi.org/id/038D879B5F25FF8AFF2462DCFDE8B376 | http://treatment.plazi.org/id/03B04A327027B404B881FBF057480BF6 | http://treatment.plazi.org/id/03E887ACFFC2FF88EB23BB36FBEFA40C | http://treatment.plazi.org/id/03E887ACFFDAFF90EB51BAD6FBFBA7AC | http://treatment.plazi.org/id/03EB87FDB4455408DEC4FABFFF121816 | http://treatment.plazi.org/id/03ED8790FF95455CD59FFD1DFEE3FC45 | http://treatment.plazi.org/id/03FAA936FFE9AD36FF5657D9436613CA | http://treatment.plazi.org/id/19F846B7AF7A733F23429D5A1A3C1307 | http://treatment.plazi.org/id/1F52051FFF8A6B58EFD5F9619429FE0C | http://treatment.plazi.org/id/4A0AC48F39F74B0CFB001BC4DA03AF63 | http://treatment.plazi.org/id/6B2C87E63948FFABFF6FFD8F76A3FD38 | http://treatment.plazi.org/id/AF59A334A86A60E8D0501FC8633F291E | http://treatment.plazi.org/id/C82F632DFF84C9751AA2FB30FBFB239F	Vespula vulgaris	species	Vespula vulgaris	GBIF:1311671	Arthropoda	Animalia
    210 GBIF:2506002	GBIF:2506002 | IRMNG:1277779 | ITIS:1059115	Davainea	genus		Platyhelminthes	Animalia	hasHost	ALATaxon:urn:lsid:biodiversity.org.au:afd.taxon:6e952804-1b8d-43cf-b55f-c9c9d6b0da77 | EOL_V2:1049263 | GBIF:5227769 | GBIF:9326020 | INAT_TAXON:882 | IRMNG:11181863 | ITIS:176086 | NCBI:9031 | WD:Q184774 | WORMS:1463738	Gallus gallus	species	Gallus gallus	EOL_V2:1049263	Chordata	Animalia
    200 EOL_V2:741141	EOL_V2:741141 | GBIF:8811858 | IRMNG:11460347 | WD:Q327082	Newcastle disease virus	species	Newcastle disease virus		Viruses	hasHost	ALATaxon:urn:lsid:biodiversity.org.au:afd.taxon:6e952804-1b8d-43cf-b55f-c9c9d6b0da77 | EOL_V2:1049263 | GBIF:5227769 | GBIF:9326020 | INAT_TAXON:882 | IRMNG:11181863 | ITIS:176086 | NCBI:9031 | WD:Q184774 | WORMS:1463738	Gallus gallus	species	Gallus gallus	EOL_V2:1049263	Chordata	Animalia
    200 EOL_V2:540691	EOL_V2:540691 | WD:Q834390	Influenza A virus	species	Influenza A virus		Viruses	hasHost	ALATaxon:urn:lsid:biodiversity.org.au:afd.taxon:6e952804-1b8d-43cf-b55f-c9c9d6b0da77 | EOL_V2:1049263 | GBIF:5227769 | GBIF:9326020 | INAT_TAXON:882 | IRMNG:11181863 | ITIS:176086 | NCBI:9031 | WD:Q184774 | WORMS:1463738	Gallus gallus	species	Gallus gallus	EOL_V2:1049263	Chordata	Animalia
    200 EOL:975251	EOL:975251 | GBIF:3226046 | IRMNG:10031093 | ITIS:963935 | WD:Q150185	Mycoplasma gallisepticum	species	Mycoplasma gallisepticum	Firmicutes	Bacteria	hasHost	ALATaxon:urn:lsid:biodiversity.org.au:afd.taxon:6e952804-1b8d-43cf-b55f-c9c9d6b0da77 | EOL_V2:1049263 | GBIF:5227769 | GBIF:9326020 | INAT_TAXON:882 | IRMNG:11181863 | ITIS:176086 | NCBI:9031 | WD:Q184774 | WORMS:1463738	Gallus gallus	species	Gallus gallus	EOL_V2:1049263	Chordata	Animalia
    200 EOL:972688	EOL:972688 | GBIF:6110934 | IRMNG:10032107 | ITIS:285 | WORMS:422817	Escherichia coli	species	Escherichia coli	Proteobacteria	Bacteria	hasHost	ALATaxon:urn:lsid:biodiversity.org.au:afd.taxon:6e952804-1b8d-43cf-b55f-c9c9d6b0da77 | EOL_V2:1049263 | GBIF:5227769 | GBIF:9326020 | INAT_TAXON:882 | IRMNG:11181863 | ITIS:176086 | NCBI:9031 | WD:Q184774 | WORMS:1463738	Gallus gallus	species	Gallus gallus	EOL_V2:1049263	Chordata	Animalia
