"species_name_network","kingdom"
"Leptinotarsa decemlineata","Animalia"
"Ostrinia nubilalis","Animalia"
"Pernis apivorus","Animalia"
"Gallus gallus","Animalia"
"Bubo bubo","Animalia"
"Corvus corax","Animalia"
"Aquila chrysaetos","Animalia"
"Martes martes","Animalia"
"Vulpes vulpes","Animalia"
"Corvus cornix","Animalia"
"Ardea cinerea","Animalia"
"Felis catus","Animalia"
"Apis mellifera","Animalia"
"Vespa crabro","Animalia"
"Strix uralensis","Animalia"
"Ursus arctos","Animalia"
"Mikiola fagi","Animalia"
"Polistes dominula","Animalia"
"Parectopa robiniella","Animalia"
"Lymantria dispar","Animalia"
"Quercus robur","Plantae"
"Canis lupus","Animalia"
"Syritta pipiens","Animalia"
"Eristalis arbustorum","Animalia"
"Apis mellifera ","Animalia"
"Cynips quercusfolii","Animalia"
"Cydia pomonella","Animalia"
"Fomitopsis pinicola","Fungi"
"Episyrphus balteatus","Animalia"
"Alydus calcaratus","Animalia"
"Eristalis tenax","Animalia"
"Vanessa atalanta","Animalia"
"Phaeolus schweinitzii","Fungi"
"Ursus arctos","Animalia"
"Vespula germanica","Animalia"
"Myathropa florea","Animalia"
"Anthidium manicatum","Animalia"
"Papilio machaon","Animalia"
"Volucella zonaria","Animalia"
"Eristalis pertinax","Animalia"
"Andricus quercuscalicis","Animalia"
"Vanessa cardui","Animalia"
"Agelastica alni","Animalia"
"Paragus haemorrhous","Animalia"
"Bombus lapidarius","Animalia"
"Amanita muscaria","Fungi"
"Polyommatus icarus","Animalia"
"Sceliphron caementarium","Animalia"
"Laetiporus sulphureus","Fungi"
"Coccinella septempunctata","Animalia"
"Convolvulus arvensis","Plantae"
"Apatura ilia","Animalia"
"Piptoporus betulinus","Fungi"
"Syrphus ribesii","Animalia"
"Harmonia axyridis","Animalia"
"Pieris rapae","Animalia"
"Eristalinus aeneus","Animalia"
"Scaeva pyrastri","Animalia"
"Trametes versicolor","Fungi"
"Eristalis tenax?","Animalia"
"Canis aureus","Animalia"
"Fomitopsis betulina","Fungi"
"Martes martes","Animalia"
"Turdus merula","Animalia"
"Turdus philomelos","Animalia"
"Sylvia atricapilla","Animalia"
"Erithacus rubecula","Animalia"
"Schizophyllum commune","Fungi"
"Felis silvestris","Animalia"
"Epistrophe eligans","Animalia"
"Melanostoma mellinum","Animalia"
"Celastrina argiolus","Animalia"
"Sphaerophoria scripta","Animalia"
"Martes foina","Animalia"
"Turdus iliacus","Animalia"
"Achillea millefolium","Plantae"
"Maniola jurtina","Animalia"
"Scolia hirta","Animalia"
"Coenonympha pamphilus","Animalia"
"Argynnis paphia","Animalia"
"Bombus ruderatus","Animalia"
"Amblyteles armatorius","Animalia"
"Pararge aegeria","Animalia"
"Turdus viscivorus","Animalia"
"Mantis religiosa","Animalia"
"Philanthus triangulum","Animalia"
"Favonius quercus","Animalia"
"Palomena prasina","Animalia"
"Gonocerus acuteangulatus","Animalia"
"Alnus glutinosa","Plantae"
"Eupeodes corollae","Animalia"
"Meliscaeva auricollis","Animalia"
"Bombus terrestris","Animalia"
"Propylaea quatuordecimpunctata","Animalia"
"Garrulus glandarius","Animalia"
"Phylloscopus collybita","Animalia"
"Cyanistes caeruleus","Animalia"
"Parus major","Animalia"
"Bubulcus ibis","Animalia"
"Episyrphus balteatus","Animalia"
"Robinia pseudoacacia","Plantae"
"Sparassis crispa","Fungi"
"Bombus pascuorum","Animalia"
"Ichneumon sarcitorius","Animalia"
"Halyomorpha halys","Animalia"
"Hedera helix","Plantae"
"Sturnus vulgaris","Animalia"
"Pyrrhula pyrrhula","Animalia"
"Fringilla coelebs","Animalia"
"Turdus pilaris","Animalia"
"Sylvia borin","Animalia"
"Autographa gamma","Animalia"
"Loxostege sticticalis","Animalia"
"Thecla betulae","Animalia"
"Volucella bombylans","Animalia"
"Salix alba","Plantae"
"Trifolium repens","Plantae"
"Martes foina","Animalia"
"Nymphalis antiopa","Animalia"
"Helophilus trivittatus","Animalia"
"Aglais io","Animalia"
"Elasmucha grisea","Animalia"
"Lecidella elaeochroma","Fungi"
"Leptotes pirithous","Animalia"
"Pieris brassicae","Animalia"
"Graphomya maculata","Animalia"
"Mustela putorius","Animalia"
"Poecile palustris","Animalia"
"Columba palumbus","Animalia"
"Bombylius major","Animalia"
"Fomes fomentarius","Fungi"
